,node,id4,id3
0,G01D 11,0,10
1,F04C 15,1,517
2,F26B 11,2,271
3,F01D 9,3,87
4,B41M 3,4,148
5,E05D 11,5,226
6,A44B 11,6,491
7,H01F 10,7,234
8,B05B 5,8,89
9,G02C 11,9,362
10,A47F 3,10,43
11,B01J 4,11,490
12,C08J 7,12,223
13,G09B 7,13,380
14,C14B 7,14,457
15,D03D 1,15,385
16,D01D 4,16,523
17,B32B 23,17,21
18,F41G 3,18,72
19,A43C 19,19,241
20,B81C 1,20,473
21,F28F 3,21,312
22,H04J 11,22,102
23,H01H 13,23,346
24,G09B 21,24,380
25,H03C 7,25,121
26,G07C 1,26,95
27,B65B 53,27,303
28,F01C 1,28,219
29,A61K 101,29,184
30,A61H 1,30,419
31,C08F 112,31,278
32,G10K 1,32,185
33,C08L 9,33,322
34,F24F 130,34,288
35,H04R 17,35,296
36,H01R 9,36,275
37,E04F 10,37,55
38,C08K 9,38,65
39,B08B 9,39,107
40,F01N 11,40,243
41,B25B 27,41,495
42,C05G 5,42,378
43,G02B 23,43,483
44,C08G 71,44,504
45,D01F 1,45,478
46,G06Q 90,46,386
47,F28F 25,47,312
48,C05F 15,48,460
49,F23Q 1,49,193
50,A47F 1,50,43
51,F24F 7,51,288
52,F21S 10,52,235
53,C04B 22,53,454
54,D21H 21,54,329
55,C11B 1,55,455
56,C08G 101,56,504
57,C08F 299,57,278
58,B25J 17,58,497
59,C09B 39,59,67
60,B01J 2,60,490
61,C08F 34,61,278
62,H05H 13,62,160
63,C10B 47,63,125
64,F23C 1,64,20
65,G06F 17,65,417
66,A23L 3,66,44
67,D06C 7,67,466
68,A47C 4,68,229
69,C01G 43,69,470
70,C21C 5,70,69
71,F02D 17,71,268
72,C09D 121,72,224
73,A61K 9,73,184
74,F16H 59,74,486
75,C08L 5,75,322
76,C01F 7,76,127
77,B41J 2,77,90
78,B65G 69,78,152
79,H01J 37,79,29
80,H01R 13,80,275
81,A47K 5,81,168
82,B22D 31,82,317
83,G16B 20,83,187
84,B23P 15,84,502
85,C07D 263,85,93
86,H01H 73,86,346
87,E05F 15,87,14
88,G16B 30,88,187
89,C01G 37,89,470
90,G03B 9,90,465
91,A61M 1,91,122
92,C22C 5,92,310
93,H04N 3,93,113
94,F28F 17,94,312
95,C09K 3,95,265
96,G21C 9,96,142
97,A01H 1,97,340
98,C01G 35,98,470
99,F15B 21,99,475
100,H04Q 3,100,479
101,F21V 33,101,117
102,C12C 11,102,40
103,G01B 7,103,112
104,C07C 1,104,354
105,C12N 13,105,363
106,B26B 3,106,331
107,B21B 33,107,416
108,C11D 3,108,468
109,A01M 1,109,395
110,A47L 17,110,253
111,B29C 71,111,401
112,C21D 7,112,92
113,A23B 7,113,32
114,C22B 7,114,315
115,B01J 33,115,490
116,B62K 21,116,258
117,C08K 3,117,65
118,H02N 3,118,449
119,A01G 2,119,452
120,C08G 8,120,504
121,C09J 131,121,471
122,F27D 11,122,365
123,C08F 251,123,278
124,G08G 5,124,458
125,C01B 39,125,146
126,C08F 22,126,278
127,H04L 41,127,84
128,F21V 5,128,117
129,B82Y 5,129,175
130,F24C 7,130,516
131,F04C 27,131,517
132,E03D 5,132,0
133,D21F 5,133,313
134,F24F 8,134,288
135,C09D 149,135,224
136,C08F 114,136,278
137,F25B 43,137,162
138,A47J 36,138,319
139,A63B 22,139,51
140,G16H 10,140,445
141,C08C 1,141,237
142,C01G 11,142,470
143,C21C 7,143,69
144,E01B 9,144,108
145,B43K 24,145,80
146,B26F 3,146,447
147,C05C 3,147,409
148,C09B 23,148,67
149,B07B 7,149,476
150,G01N 1,150,144
151,G01K 3,151,177
152,H04B 13,152,211
153,H01P 1,153,300
154,B24C 9,154,4
155,C22B 58,155,315
156,A47G 1,156,37
157,C22C 38,157,310
158,H03L 1,158,403
159,C03B 25,159,24
160,H02K 35,160,216
161,G01S 11,161,511
162,B25B 23,162,495
163,C14B 13,163,457
164,H03C 1,164,121
165,F16H 29,165,486
166,A41D 27,166,57
167,G01G 13,167,22
168,C25B 13,168,266
169,F01N 3,169,243
170,B63B 17,170,381
171,G01R 3,171,83
172,B62J 50,172,147
173,A43D 117,173,308
174,C09B 67,174,67
175,G01S 17,175,511
176,A01N 57,176,374
177,C08L 73,177,322
178,C11D 7,178,468
179,H01J 61,179,29
180,G12B 11,180,245
181,C07C 15,181,354
182,C07D 411,182,93
183,C08F 136,183,278
184,F17D 3,184,212
185,B63B 5,185,381
186,C30B 25,186,272
187,A61N 1,187,482
188,E05B 65,188,302
189,G01B 9,189,112
190,B60C 11,190,206
191,A61J 17,191,11
