,node,id3,id2
318,B42D,318,27
319,A47J,319,39
320,G10H,320,17
321,B29K,321,23
322,C08L,322,53
323,H02J,323,10
324,F01B,324,54
325,G04C,325,68
326,F16T,326,69
327,F16S,327,69
328,A47H,328,39
329,D21H,329,67
330,G21K,330,81
331,B26B,331,48
332,E01C,332,84
333,G08B,333,15
334,A45F,334,50
335,G06J,335,79
336,C23G,336,38
337,B23H,337,75
338,F03D,338,71
339,C09G,339,63
340,A01H,340,13
341,B29L,341,23
342,G04R,342,68
343,B44C,343,109
344,A01K,344,13
345,C09C,345,63
346,H01H,346,36
347,G04B,347,68
348,B64C,348,112
349,G03G,349,59
350,F24D,350,103
351,F04F,351,55
352,G01L,352,64
353,A63J,353,3
354,C07C,354,72
355,F24J,355,103
356,A24F,356,14
357,B60N,357,89
358,B62M,358,26
359,G03H,359,59
360,B64D,360,112
361,H05B,361,76
362,G02C,362,88
363,C12N,363,18
364,H01M,364,36
365,F27D,365,5
366,B41N,366,114
367,F21Y,367,24
368,B66F,368,96
369,C25C,369,101
370,C05D,370,116
371,F02B,371,40
372,E02D,372,52
373,D21J,373,67
374,A01N,374,13
375,H02G,375,10
376,F22G,376,12
377,H02M,377,10
378,C05G,378,116
379,G05F,379,58
380,G09B,380,93
381,B63B,381,41
382,B67C,382,4
383,A23C,383,100
384,G01J,384,64
385,D03D,385,111
386,G06Q,386,79
387,G01W,387,64
388,G16Z,388,2
389,F23D,389,117
390,B60H,390,89
391,A01D,391,13
392,H01K,392,36
393,H01G,393,36
394,B23Q,394,75
395,A01M,395,13
396,H04M,396,43
397,B30B,397,90
398,F23J,398,117
399,B27G,399,91
400,E05C,400,56
401,B29C,401,23
402,C12Q,402,18
403,H03L,403,21
404,F01M,404,54
405,B61L,405,61
406,B03C,406,110
407,B61H,407,61
408,A47B,408,39
409,C05C,409,116
410,B09B,410,44
411,F01L,411,54
412,F25J,412,77
413,B23G,413,75
414,B29B,414,23
415,B63C,415,41
416,B21B,416,6
417,G06F,417,79
418,H03J,418,21
419,A61H,419,57
420,C21B,420,20
421,H04H,421,43
422,G06T,422,79
423,G06K,423,79
424,F01P,424,54
425,A62B,425,85
426,E06B,426,28
427,B22C,427,80
428,H03B,428,21
429,A44C,429,33
430,B04B,430,31
431,B65D,431,118
432,B23D,432,75
433,A47D,433,39
434,F04D,434,55
435,A61F,435,57
436,H05G,436,76
437,A21C,437,113
438,A21B,438,113
439,F16C,439,69
440,D06B,440,62
441,C40B,441,102
442,C14C,442,106
443,B60L,443,89
444,F28D,444,104
445,G16H,445,2
446,G10D,446,17
447,B26F,447,48
448,F15D,448,35
449,H02N,449,10
450,F17B,450,51
451,G01H,451,64
452,A01G,452,13
453,A41H,453,87
454,C04B,454,9
455,C11B,455,49
456,F41A,456,115
457,C14B,457,106
